3974197227,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Kenneth Walker III (30330656),Zach Evans (30330798),Stefon Diggs (30330872),Zay Flowers (30330902),Elijah Moore (30330934),Sam LaPorta (30331248),Courtland Sutton (30330912),Bills (30331464),,RB,Tyler Allgeier (30330720),Tyler Allgeier,30330720,RB/FLEX,4500,ATL@TB 10/22/2023 01:00PM ET,ATL,8.116666667,8.116666667
3974197273,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Isiah Pacheco (30330668),Josh Jacobs (30330648),Christian Watson (30330904),Amari Cooper (30330894),Terry McLaurin (30330908),Zach Ertz (30331272),Keenan Allen (30330874),Cardinals (30331481),,RB,Tony Jones Jr. (30330716),Tony Jones Jr.,30330716,RB/FLEX,4500,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0
3974195790,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Kadarius Toney (30330944),Jaxon Smith-Njigba (30330940),Mike Evans (30330882),Travis Kelce (30331244),Josh Palmer (30330920),Lions (30331477),,RB,Samaje Perine (30330718),Samaje Perine,30330718,RB/FLEX,4500,GB@DEN 10/22/2023 04:25PM ET,DEN,5.683333333,5.683333333
3974197254,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Jaylen Warren (30330686),Roschon Johnson (30330712),Stefon Diggs (30330872),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Logan Thomas (30331266),Tyler Lockett (30330896),Chiefs (30331480),,RB,Isaiah Spiller (30330724),Isaiah Spiller,30330724,RB/FLEX,4500,LAC@KC 10/22/2023 04:25PM ET,LAC,0.496666667,0.496666667
3974197229,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Kenneth Walker III (30330656),Najee Harris (30330680),Marquise Brown (30330910),Michael Pittman (30330888),Elijah Moore (30330934),Darren Waller (30331250),Travis Kelce (30331244),Giants (30331474),,RB,Devine Ozigbo (30330728),Devine Ozigbo,30330728,RB/FLEX,4400,DET@BAL 10/22/2023 01:00PM ET,DET,0.903333333,0.903333333
3974197260,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Isiah Pacheco (30330668),Brian Robinson (30330670),Courtland Sutton (30330912),Amon-Ra St. Brown (30330878),Curtis Samuel (30330938),Mark Andrews (30331246),Christian Watson (30330904),Seahawks (30331472),,RB,Latavius Murray (30330726),Latavius Murray,30330726,RB/FLEX,4400,BUF@NE 10/22/2023 01:00PM ET,BUF,7.193333333,7.193333333
3974195826,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Josh Jacobs (30330648),Jerome Ford (30330682),Keenan Allen (30330874),Amari Cooper (30330894),Darius Slayton (30330954),Sam LaPorta (30331248),Zach Evans (30330798),Bills (30331464),,WR,Kendrick Bourne (30330928),Kendrick Bourne,30330928,WR/FLEX,4400,BUF@NE 10/22/2023 01:00PM ET,NE,11.07333333,11.07333333
3974197204,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Lamar Jackson (30330582),Najee Harris (30330680),Jahmyr Gibbs (30330664),Zay Flowers (30330902),Terry McLaurin (30330908),Wan'Dale Robinson (30330952),Mark Andrews (30331246),Amon-Ra St. Brown (30330878),Cardinals (30331481),,RB,Ke'Shawn Vaughn (30330730),Ke'Shawn Vaughn,30330730,RB/FLEX,4400,ATL@TB 10/22/2023 01:00PM ET,TB,4.946666667,4.946666667
3974195810,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Kenneth Walker III (30330656),Jaylen Warren (30330686),Christian Watson (30330904),Courtland Sutton (30330912),Puka Nacua (30330880),Luke Musgrave (30331270),Travis Kelce (30331244),Ravens (30331479),,RB,Ronnie Rivers (30330732),Ronnie Rivers,30330732,RB/FLEX,4400,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0
3974195806,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Brian Robinson (30330670),Rhamondre Stevenson (30330672),Marquise Brown (30330910),Stefon Diggs (30330872),Amari Cooper (30330894),Logan Thomas (30331266),Tyler Lockett (30330896),Browns (30331471),,RB,Myles Gaskin (30475467),Myles Gaskin,30475467,RB/FLEX,4400,PIT@LAR 10/22/2023 04:05PM ET,LAR,1.49,1.49
3974195815,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Jerome Ford (30330682),Keenan Allen (30330874),Kadarius Toney (30330944),Elijah Moore (30330934),Dawson Knox (30331284),Travis Kelce (30331244),Giants (30331474),,QB,Clayton Tune (30330622),Clayton Tune,30330622,QB,4400,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0
3974195794,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Josh Jacobs (30330648),Rachaad White (30330684),Courtland Sutton (30330912),Mike Evans (30330882),Terry McLaurin (30330908),Sam LaPorta (30331248),Christian Watson (30330904),Commanders (30331469),,RB,Melvin Gordon III (30330734),Melvin Gordon III,30330734,RB/FLEX,4300,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
3974197258,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Zach Evans (30330798),Jahmyr Gibbs (30330664),Tyler Lockett (30330896),Jaxon Smith-Njigba (30330940),Amari Cooper (30330894),Travis Kelce (30331244),Kenneth Walker III (30330656),Lions (30331477),,WR,Josh Reynolds (30330932),Josh Reynolds,30330932,WR/FLEX,4300,DET@BAL 10/22/2023 01:00PM ET,DET,7.283333333,7.283333333
3974197265,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Bijan Robinson (30330650),Roschon Johnson (30330712),Amon-Ra St. Brown (30330878),Mike Evans (30330882),Elijah Moore (30330934),Mark Andrews (30331246),Marquise Brown (30330910),Chiefs (30331480),,RB,Robert Burns (30330738),Robert Burns,30330738,RB/FLEX,4300,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
3974195833,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Isiah Pacheco (30330668),Jerome Ford (30330682),Stefon Diggs (30330872),Amon-Ra St. Brown (30330878),Kendrick Bourne (30330928),Zach Ertz (30331272),Christian Watson (30330904),Cardinals (30331481),,RB,Sean Tucker (30330736),Sean Tucker,30330736,RB/FLEX,4300,ATL@TB 10/22/2023 01:00PM ET,TB,0.416666667,0.416666667
3974197216,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Josh Jacobs (30330648),Amari Cooper (30330894),Terry McLaurin (30330908),Darius Slayton (30330954),Travis Kelce (30331244),Josh Palmer (30330920),Patriots (30331483),,WR,Tutu Atwell (30330930),Tutu Atwell,30330930,WR/FLEX,4300,PIT@LAR 10/22/2023 04:05PM ET,LAR,7.75,7.75
3974197234,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Jaylen Warren (30330686),Bijan Robinson (30330650),Keenan Allen (30330874),Mike Evans (30330882),Zay Flowers (30330902),Michael Mayer (30331288),Sam LaPorta (30331248),Giants (30331474),,RB,Zach Charbonnet (30330740),Zach Charbonnet,30330740,RB/FLEX,4300,ARI@SEA 10/22/2023 04:05PM ET,SEA,6.133333333,6.133333333
3974195785,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Brian Robinson (30330670),Jerome Ford (30330682),Michael Pittman (30330888),Elijah Moore (30330934),Curtis Samuel (30330938),Mark Andrews (30331246),Travis Kelce (30331244),Cardinals (30331481),,TE,Cole Kmet (30331252),Cole Kmet,30331252,TE/FLEX,4200,LV@CHI 10/22/2023 01:00PM ET,CHI,8.4,8.4
3974195813,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Isiah Pacheco (30330668),Zach Evans (30330798),Marquise Brown (30330910),Michael Pittman (30330888),Amari Cooper (30330894),Mark Andrews (30331246),Tyler Lockett (30330896),Bills (30331464),,RB,Pierre Strong Jr. (30330742),Pierre Strong Jr.,30330742,RB/FLEX,4200,CLE@IND 10/22/2023 01:00PM ET,CLE,0.416666667,0.416666667
3974197247,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Kenneth Walker III (30330656),Josh Jacobs (30330648),Courtland Sutton (30330912),Rondale Moore (30330970),Terry McLaurin (30330908),Travis Kelce (30331244),Christian Watson (30330904),Ravens (30331479),,WR,Elijah Moore (30330934),Elijah Moore,30330934,WR/FLEX,4200,CLE@IND 10/22/2023 01:00PM ET,CLE,10.37,10.37
3974197233,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Najee Harris (30330680),Jahmyr Gibbs (30330664),Courtland Sutton (30330912),Stefon Diggs (30330872),Darius Slayton (30330954),Luke Musgrave (30331270),Keenan Allen (30330874),Seahawks (30331472),,DST,Bills  (30331464),Bills ,30331464,DST,4200,BUF@NE 10/22/2023 01:00PM ET,BUF,9.626666667,9.626666667
3974195831,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Brian Robinson (30330670),Jerome Ford (30330682),Stefon Diggs (30330872),Amari Cooper (30330894),Jahan Dotson (30330924),Sam LaPorta (30331248),Tyler Lockett (30330896),Lions (30331477),,QB,Mason Rudolph (30330623),Mason Rudolph,30330623,QB,4200,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0
3974197226,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Isiah Pacheco (30330668),Najee Harris (30330680),Zay Flowers (30330902),Elijah Moore (30330934),Wan'Dale Robinson (30330952),Travis Kelce (30331244),Stefon Diggs (30330872),Chiefs (30331480),,RB,Clyde Edwards-Helaire (30330744),Clyde Edwards-Helaire,30330744,RB/FLEX,4200,LAC@KC 10/22/2023 04:25PM ET,KC,3.583333333,3.583333333
3974203571,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Kenneth Walker III (30330656),Jahmyr Gibbs (30330664),Marquise Brown (30330910),Michael Pittman (30330888),Amari Cooper (30330894),Mark Andrews (30331246),Christian Watson (30330904),Patriots (30331483),,RB,Kenyan Drake (30330746),Kenyan Drake,30330746,RB/FLEX,4100,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
3974195834,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Zach Evans (30330798),Josh Jacobs (30330648),Courtland Sutton (30330912),Amon-Ra St. Brown (30330878),Terry McLaurin (30330908),Dawson Knox (30331284),Travis Kelce (30331244),Lions (30331477),,TE,Hunter Henry (30331254),Hunter Henry,30331254,TE/FLEX,4100,BUF@NE 10/22/2023 01:00PM ET,NE,7.063333333,7.063333333
3974197228,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Rachaad White (30330684),Jerome Ford (30330682),Stefon Diggs (30330872),Elijah Moore (30330934),Darius Slayton (30330954),Mark Andrews (30331246),Keenan Allen (30330874),Giants (30331474),,WR,Isaiah Hodgins (30330936),Isaiah Hodgins,30330936,WR/FLEX,4100,WAS@NYG 10/22/2023 01:00PM ET,NYG,2.853333333,2.853333333
3974203579,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Isiah Pacheco (30330668),Roschon Johnson (30330712),Tyler Lockett (30330896),Jaxon Smith-Njigba (30330940),Amari Cooper (30330894),Mark Andrews (30331246),Cooper Kupp (30330870),Patriots (30331483),,QB,Sean Clifford (30330624),Sean Clifford,30330624,QB,4100,GB@DEN 10/22/2023 04:25PM ET,GB,0,0
3974197244,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Jaylen Warren (30330686),Christian Watson (30330904),Courtland Sutton (30330912),Cooper Kupp (30330870),Logan Thomas (30331266),Sam LaPorta (30331248),Browns (30331471),,QB,Josh Johnson (30330640),Josh Johnson,30330640,QB,4000,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
3974197210,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Javonte Williams (30330674),Josh Jacobs (30330648),Josh Palmer (30330920),Marquise Brown (30330910),Terry McLaurin (30330908),Travis Kelce (30331244),Christian Watson (30330904),Cardinals (30331481),,QB,Hendon Hooker (30330641),Hendon Hooker,30330641,QB,4000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
3974195792,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Zay Flowers (30330902),Zach Ertz (30331272),Travis Kelce (30331244),Cardinals (30331481),,QB,Nate Sudfeld (30330642),Nate Sudfeld,30330642,QB,4000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
3974195820,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Najee Harris (30330680),Bijan Robinson (30330650),Tyler Lockett (30330896),Mike Evans (30330882),Elijah Moore (30330934),Luke Musgrave (30331270),Keenan Allen (30330874),Giants (30331474),,QB,David Blough (30330643),David Blough,30330643,QB,4000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
3974197268,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Kenneth Walker III (30330656),Zach Evans (30330798),Courtland Sutton (30330912),Romeo Doubs (30330918),Stefon Diggs (30330872),Darren Waller (30331250),Isiah Pacheco (30330668),Seahawks (30331472),,RB,Keaton Mitchell (30330858),Keaton Mitchell,30330858,RB/FLEX,4000,DET@BAL 10/22/2023 01:00PM ET,BAL,0.756666667,0.756666667
3974197251,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Bijan Robinson (30330650),Gus Edwards (30330698),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Curtis Samuel (30330938),Sam LaPorta (30331248),Mark Andrews (30331246),Chiefs (30331480),,RB,J.K. Dobbins (30330860),J.K. Dobbins,30330860,RB/FLEX,4000,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
3974195800,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Josh Jacobs (30330648),Jerome Ford (30330682),Jaxon Smith-Njigba (30330940),Mike Evans (30330882),Terry McLaurin (30330908),Travis Kelce (30331244),Marquise Brown (30330910),Ravens (30331479),,RB,Owen Wright (30330862),Owen Wright,30330862,RB/FLEX,4000,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
3974197224,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Jahmyr Gibbs (30330664),Roschon Johnson (30330712),Stefon Diggs (30330872),Kendrick Bourne (30330928),Elijah Moore (30330934),Darren Waller (30331250),Travis Kelce (30331244),Giants (30331474),,RB,Patrick Ricard (30330864),Patrick Ricard,30330864,RB/FLEX,4000,DET@BAL 10/22/2023 01:00PM ET,BAL,0.373333333,0.373333333
3974197206,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Isiah Pacheco (30330668),Kenneth Walker III (30330656),Tyler Lockett (30330896),Amari Cooper (30330894),Josh Downs (30330926),Logan Thomas (30331266),Keenan Allen (30330874),Lions (30331477),,RB,Zonovan Knight (30330866),Zonovan Knight,30330866,RB/FLEX,4000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
3974203580,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Jaylen Warren (30330686),Rachaad White (30330684),Courtland Sutton (30330912),Cooper Kupp (30330870),Amon-Ra St. Brown (30330878),Dawson Knox (30331284),Christian Watson (30330904),Browns (30331471),,RB,Jason Cabinda (30330868),Jason Cabinda,30330868,RB/FLEX,4000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
3974203592,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Zach Evans (30330798),Jerome Ford (30330682),Christian Watson (30330904),Zay Flowers (30330902),Terry McLaurin (30330908),Sam LaPorta (30331248),Travis Kelce (30331244),Cardinals (30331481),,RB,Khalil Herbert (30330750),Khalil Herbert,30330750,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
3974203578,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Kenneth Walker III (30330656),Josh Jacobs (30330648),Marquise Brown (30330910),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Dawson Knox (30331284),Courtland Sutton (30330912),Lions (30331477),,RB,Ameer Abdullah (30330842),Ameer Abdullah,30330842,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,LV,1.886666667,1.886666667
3974197264,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Najee Harris (30330680),Kadarius Toney (30330944),Curtis Samuel (30330938),Wan'Dale Robinson (30330952),Travis Kelce (30331244),Keenan Allen (30330874),Patriots (30331483),,RB,Brandon Bolden (30330844),Brandon Bolden,30330844,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
3974195819,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Jahmyr Gibbs (30330664),Gus Edwards (30330698),Tyler Lockett (30330896),Amon-Ra St. Brown (30330878),Elijah Moore (30330934),Mark Andrews (30331246),Christian Watson (30330904),Giants (30331474),,RB,Brittain Brown (30330846),Brittain Brown,30330846,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
3974195818,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Brian Robinson (30330670),Jerome Ford (30330682),Cooper Kupp (30330870),Mike Evans (30330882),Amari Cooper (30330894),Logan Thomas (30331266),Josh Palmer (30330920),Ravens (30331479),,RB,Austin Walter (30330848),Austin Walter,30330848,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
3974195823,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Kenneth Walker III (30330656),Josh Jacobs (30330648),Christian Watson (30330904),Courtland Sutton (30330912),Elijah Moore (30330934),Luke Musgrave (30331270),Travis Kelce (30331244),Commanders (30331469),,RB,Jakob Johnson (30330850),Jakob Johnson,30330850,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,LV,0.273333333,0.273333333
3974197212,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Isiah Pacheco (30330668),Zach Evans (30330798),Stefon Diggs (30330872),Mike Evans (30330882),Terry McLaurin (30330908),Sam LaPorta (30331248),Marquise Brown (30330910),Broncos (30331478),,RB,Sincere McCormick (30330852),Sincere McCormick,30330852,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
3974203575,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Javonte Williams (30330674),Roschon Johnson (30330712),Keenan Allen (30330874),Tyler Lockett (30330896),Amari Cooper (30330894),Zach Ertz (30331272),Travis Kelce (30331244),Patriots (30331483),,RB,Darrynton Evans (30330854),Darrynton Evans,30330854,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,CHI,2.396666667,2.396666667
3974197266,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Courtland Sutton (30330912),Stefon Diggs (30330872),Zay Flowers (30330902),Darren Waller (30331250),Christian Watson (30330904),Chiefs (30331480),,RB,Khari Blasingame (30330856),Khari Blasingame,30330856,RB/FLEX,4000,LV@CHI 10/22/2023 01:00PM ET,CHI,0.12,0.12
3974203581,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Jaylen Warren (30330686),Cooper Kupp (30330870),Amari Cooper (30330894),Josh Downs (30330926),Logan Thomas (30331266),Mark Andrews (30331246),Seahawks (30331472),,QB,Anthony Richardson (30330625),Anthony Richardson,30330625,QB,4000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
3974197215,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Josh Jacobs (30330648),Kadarius Toney (30330944),Rondale Moore (30330970),Elijah Moore (30330934),Mark Andrews (30331246),Travis Kelce (30331244),Giants (30331474),,QB,Kellen Mond (30330639),Kellen Mond,30330639,QB,4000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
3974197203,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Najee Harris (30330680),Rachaad White (30330684),Marquise Brown (30330910),Stefon Diggs (30330872),Terry McLaurin (30330908),Sam LaPorta (30331248),Tyler Lockett (30330896),Lions (30331477),,RB,Deon Jackson (30330752),Deon Jackson,30330752,RB/FLEX,4000,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
3974197220,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Zach Evans (30330798),Jerome Ford (30330682),Rondale Moore (30330970),Michael Pittman (30330888),Amari Cooper (30330894),Travis Kelce (30331244),Keenan Allen (30330874),Lions (30331477),,RB,Trey Sermon (30330834),Trey Sermon,30330834,RB/FLEX,4000,CLE@IND 10/22/2023 01:00PM ET,IND,0.29,0.29
3974203591,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Javonte Williams (30330674),Kenneth Walker III (30330656),Courtland Sutton (30330912),Amon-Ra St. Brown (30330878),Elijah Moore (30330934),Mark Andrews (30331246),Christian Watson (30330904),Chiefs (30331480),,RB,Evan Hull (30330836),Evan Hull,30330836,RB/FLEX,4000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
3974195787,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Najee Harris (30330680),Josh Jacobs (30330648),Stefon Diggs (30330872),Terry McLaurin (30330908),Kendrick Bourne (30330928),Darren Waller (30331250),Mark Andrews (30331246),Cardinals (30331481),,RB,Tyler Goodson (30330838),Tyler Goodson,30330838,RB/FLEX,4000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
3974195791,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Isiah Pacheco (30330668),Jahmyr Gibbs (30330664),Amari Cooper (30330894),Zay Flowers (30330902),Curtis Samuel (30330938),Travis Kelce (30331244),Jakobi Meyers (30330892),Patriots (30331483),,RB,Nick Chubb (30330840),Nick Chubb,30330840,RB/FLEX,4000,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
3974203589,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Brian Robinson (30330670),Jerome Ford (30330682),Marquise Brown (30330910),Stefon Diggs (30330872),Wan'Dale Robinson (30330952),Sam LaPorta (30331248),Tyler Lockett (30330896),Bills (30331464),,QB,Will Grier (30330637),Will Grier,30330637,QB,4000,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
3974195797,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Aaron Jones (30330658),Kenneth Walker III (30330656),Christian Watson (30330904),Courtland Sutton (30330912),Elijah Moore (30330934),Luke Musgrave (30331270),Keenan Allen (30330874),Commanders (30331469),,QB,Shane Buechele (30330638),Shane Buechele,30330638,QB,4000,BUF@NE 10/22/2023 01:00PM ET,BUF,0,0
3974197225,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Jaylen Warren (30330686),Zach Evans (30330798),Rashee Rice (30330922),Michael Pittman (30330888),Amari Cooper (30330894),Travis Kelce (30331244),Josh Palmer (30330920),Ravens (30331479),,RB,Kevin Harris (30330824),Kevin Harris,30330824,RB/FLEX,4000,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
3974203584,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Josh Jacobs (30330648),Jerome Ford (30330682),Kadarius Toney (30330944),Stefon Diggs (30330872),Terry McLaurin (30330908),Darren Waller (30331250),Isiah Pacheco (30330668),Lions (30331477),,RB,Damien Harris (30330826),Damien Harris,30330826,RB/FLEX,4000,BUF@NE 10/22/2023 01:00PM ET,BUF,0.91,0.91
3974197270,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Jahmyr Gibbs (30330664),Roschon Johnson (30330712),Christian Watson (30330904),Courtland Sutton (30330912),Tyler Lockett (30330896),Dawson Knox (30331284),Travis Kelce (30331244),Giants (30331474),,RB,Nyheim Hines (30330828),Nyheim Hines,30330828,RB/FLEX,4000,BUF@NE 10/22/2023 01:00PM ET,BUF,0,0
3974195832,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Javonte Williams (30330674),Kenneth Walker III (30330656),Keenan Allen (30330874),Marquise Brown (30330910),Amari Cooper (30330894),Dawson Knox (30331284),Sam LaPorta (30331248),Giants (30331474),,RB,Reggie Gilliam (30330830),Reggie Gilliam,30330830,RB/FLEX,4000,BUF@NE 10/22/2023 01:00PM ET,BUF,0.243333333,0.243333333
